"id_penjualan","id_invoice","tanggal","id_customer","id_barang","jumlah_barang","harga","nama_customer","id_cabang_sales","cabang_sales","grup","produk","kemasan","nama_tipe","kode_lini","lini","total_sales"
IN6290-BRG0003,IN6290,2022-03-22,CUST55592,BRG0003,67.0,10690.60,KLINIK GM,CAB03,Jakarta,Klinik,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,716270.20
IN6191-BRG0003,IN6191,2022-01-31,CUST55422,BRG0003,4.0,10690.60,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,42762.40
IN5980-BRG0003,IN5980,2022-01-23,CUST55432,BRG0003,20.0,10690.60,APOTEK TAPAK,CAB01,Aceh,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,213812.00
IN6254-BRG0005,IN6254,2022-02-02,CUST55544,BRG0005,12.493006993007,5648.30,KLINIK DR. ANDRI,CAB08,Lampung,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,70564.25
IN6031-BRG0001,IN6031,2022-04-15,CUST55616,BRG0001,4.0,4592.10,KLINIK SAHABAT,CAB05,Tangerang,Klinik,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,18368.40
IN6255-BRG0007,IN6255,2022-01-31,CUST55446,BRG0007,21.8916083916084,4592.10,APOTEK SAHABAT,CAB07,Padang,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,100528.45
IN5987-BRG0010,IN5987,2022-04-19,CUST55659,BRG0010,13.6678321678322,6940.30,KLINIK GM,CAB03,Jakarta,Klinik,PARACETAMOL,BOTOL,Produk jadi,208,SLCYL,94858.86
IN6005-BRG0008,IN6005,2022-02-01,CUST55447,BRG0008,12.493006993007,3991.90,APOTEK TAPAK,CAB01,Aceh,Apotek,TETRACYCLINE KAPSUL 250 MG,KAPSUL,Produk jadi,204,MARCKS,49870.83
IN6297-BRG0002,IN6297,2022-01-20,CUST55381,BRG0002,5.0,2337.50,APOTEK MAJA,CAB02,Kuningan,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,11687.50
IN6110-BRG0007,IN6110,2022-03-06,CUST55576,BRG0007,9.0,4592.10,APOTEK MAJA,CAB02,Kuningan,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,41328.90
IN6197-BRG0001,IN6197,2022-04-29,CUST55630,BRG0001,34.0,1169.91,APOTEK MERDEKA,CAB04,Bandung,Apotek,ACYCLOVIR DUS,DUS,Produk jadi,206,OGB & PH,39776.94
IN6220-BRG0005,IN6220,2022-01-23,CUST55444,BRG0005,48.0,5648.30,KLINIK SAHABAT,CAB05,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,271118.40
IN6160-BRG0003,IN6160,2022-05-27,CUST55672,BRG0003,5.0,10690.60,APOTEK TAPAK,CAB01,Aceh,Apotek,AMPICILLIN,BOTOL,Produk jadi,210,MARCKS,53453.00
IN6249-BRG0004,IN6249,2022-04-30,CUST55703,BRG0004,25.0,8700.70,APOTEK MAJA,CAB02,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,KAPSUL,Produk jadi,201,VNS,217517.50
IN6122-BRG0006,IN6122,2022-01-30,CUST55445,BRG0006,21.3041958041958,2819.20,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,KETOCONAZOLE TABLET 200 MG,TABLET,Produk jadi,205,OGB & PH,60060.79
IN6187-BRG0007,IN6187,2022-04-05,CUST55606,BRG0007,25.0,4592.10,APOTEK MAJA,CAB02,Kuningan,Apotek,ERGOTAMINE COFFEINE,BOTOL,Produk jadi,206,ETIKAL,114802.50
IN6203-BRG0005,IN6203,2022-01-31,CUST55524,BRG0005,100.0,5648.30,KLINIK GM,CAB03,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,Produk jadi,203,SLCYL,564830.00
IN6154-BRG0002,IN6154,2022-04-19,CUST55641,BRG0002,12.493006993007,2337.50,APOTEK SAHABAT,CAB07,Padang,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,29202.40
IN6082-BRG0002,IN6082,2022-04-16,CUST55617,BRG0002,8.0,3991.90,APOTEK SINAR JAYA,CAB06,Bekasi,Apotek,ALERGINE TABLET SALUT,DUS,Produk jadi,203,ETIKAL,31935.20
